"Waterbody";"matrix";"substance";"Type";"CR";"Units";"Response";"ConfThresh";"ConfAcc";"Datatype";"ConfTemp";"Area_km2";"Grids";"GridsAssessed";"Stations";"ConfSpatial";"ConfMethod"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"CD";"HM";0.96;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;21;16;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"CD";"HM";1.22;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;28;3;"L";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"CD";"HM";1.9;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;19;7;"M";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"CD";"HM";1.01;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;16;18;"M";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"CD";"HM";0.01;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;3;3;"H";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"CD";"HM";0.9;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;2;1;"L";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"CD";"HM";1.28;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;0;13;"M";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"CD";"HM";1;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;12;25;"L";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"CD";"HM";1.36;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;31;8;"M";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"CD";"HM";2.45;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;0;6;"H";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"CD";"HM";1.17;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;10;29;"M";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"CD";"HM";0.59;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;8;25;"L";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"CD";"HM";1.57;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;2;16;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"CD";"HM";0.9;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;31;23;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"CD";"HM";2.93;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;25;29;"M";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"CD";"HM";0.99;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;23;26;"M";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"CD";"HM";1.64;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;14;28;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"CD";"HM";0.1;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;18;4;"L";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"CD";"HM";0.1;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;1;27;"M";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"CD";"HM";0.28;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;27;2;"M";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"CD";"HM";0.29;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;20;1;"M";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"CD";"HM";0.18;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;27;11;"L";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"CD";"HM";0.17;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;14;27;"M";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"CD";"HM";0.13;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;5;6;"M";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"CD";"HM";0.23;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;13;23;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"CD";"HM";0.02;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;27;27;"M";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"CD";"HM";0.3;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;5;20;"L";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"CD";"HM";1.96;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;1;4;"M";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.17;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;31;3;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.09;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;6;15;"M";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.33;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;31;25;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.06;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;9;18;"M";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.06;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;31;14;"H";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.04;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;10;9;"H";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.08;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;30;24;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.06;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;11;20;"M";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.05;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;30;7;"L";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.07;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;31;4;"M";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.09;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;15;17;"H";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.05;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;26;11;"M";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.11;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;12;2;"L";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.25;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;20;19;"H";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.12;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;24;28;"L";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.15;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;17;3;"M";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.03;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;24;20;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.09;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;6;12;"H";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.12;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;23;8;"M";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.2;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;25;1;"L";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"FLU";"Org";0.08;"ug/kg ww mussels";"+";"H";"L";"initial";"M";6299.66417602564;210;16;15;"L";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HBCD";"Org";0;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";6299.66417602564;210;6;23;"M";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";0.53;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;27;11;"H";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";0.84;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;19;2;"L";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";0.53;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;11;31;"M";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";0.75;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;12;2;"L";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";0.53;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;10;3;"M";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";0.7;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;26;9;"H";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";0.99;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;30;16;"M";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";1.26;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;23;4;"H";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";0;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;6;21;"M";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";0.47;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;31;29;"M";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";0.48;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;14;13;"L";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";0.49;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;16;2;"H";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";0.27;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;17;6;"L";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";3.9;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;15;19;"L";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";0.48;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;5;11;"M";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";1.18;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;16;6;"H";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";1.92;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;23;26;"H";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";0.75;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;11;21;"H";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";1.69;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;8;28;"L";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";0.29;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;2;24;"M";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";1.16;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";6299.66417602564;210;21;7;"L";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"HG";"HM";3.13;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";6299.66417602564;210;13;31;"L";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";0.72;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;3;15;"L";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";0.86;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;23;5;"M";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";0.45;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;13;24;"L";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";0.43;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;20;12;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";0.44;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;7;27;"L";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";0.24;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;17;26;"H";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";1.14;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;24;14;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";0.79;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;31;21;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";0.01;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;24;22;"H";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";0.1;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;18;18;"M";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";0.58;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;2;7;"L";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";0.85;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;27;13;"L";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";0.89;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;17;23;"L";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";2.67;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;0;8;"L";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";0.62;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;27;24;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";1.18;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;13;31;"M";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";1.27;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;26;17;"M";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";0.61;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;13;1;"H";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";1.41;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;26;31;"L";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";0.62;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;6;11;"M";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";1.06;"ug/kg dw mussels";"+";"M";"L";"initial";"M";6299.66417602564;210;13;21;"L";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PB";"HM";2.15;"ug/kg ww fish liver";"+";"M";"L";"initial";"M";6299.66417602564;210;21;17;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"PB";"HM";0.23;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;11;31;"L";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"PB";"HM";0.33;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;17;31;"L";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"PB";"HM";0.43;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;15;17;"L";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"PB";"HM";0.48;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;28;26;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"PB";"HM";0.15;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;16;16;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"PB";"HM";0.07;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;15;12;"M";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"PB";"HM";0.49;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;23;3;"H";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"PB";"HM";0.07;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;11;15;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"PB";"HM";0.11;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;24;12;"H";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"PB";"HM";0.52;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;19;8;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"PB";"HM";2.38;"mg/kg sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;9;9;"H";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"PFOS";"Org";0.06;"ug/kg ww fish muscle";"+";"H";"L";"initial";"M";6299.66417602564;210;21;16;"M";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"SBD6";"Org";15.76;"ug/kg ww fish muscle";"+";"H";"L";"initial";"M";6299.66417602564;210;21;13;"M";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"SCB6";"Org";0.19;"ug/kg ww fish muscle";"+";"L";"L";"initial";"M";6299.66417602564;210;9;15;"H";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"SDX";"Org";0.07;"teq/kg ww fish muscle, crustacean, mussle";"+";"H";"L";"initial";"M";6299.66417602564;210;26;17;"M";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";24.04;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;14;9;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";1.06;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;24;18;"M";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";4.6;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;8;17;"M";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";5.21;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;7;25;"L";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";2.42;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;25;6;"H";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";22.32;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;16;18;"M";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";2.94;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;22;23;"L";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";4.46;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;13;21;"L";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";8.15;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;26;26;"L";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";9.19;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;16;18;"L";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";7.62;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;27;4;"M";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";8.68;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;11;1;"M";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";1.9;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;2;3;"H";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";1.6;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;28;2;"H";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";12.5;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;31;29;"L";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";34.72;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;19;16;"H";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";20.38;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;1;29;"L";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";26.04;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;26;9;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";13.59;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;19;13;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";15.63;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;5;4;"H";"H"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";22.32;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;3;22;"H";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";4.04;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;6;19;"M";"M"
"Kattegat Danish Coastal waters, including Limfjorden";"Sediment";"TBTIN";"Org";1.23;"ug/kg dw sediment";"+";"H";"L";"initial";"M";6299.66417602564;210;14;9;"L";"L"
"Kattegat Danish Coastal waters, including Limfjorden";"Biota";"VDS";"Org";2;"VDSI";"+";"M";"L";"initial";"M";6299.66417602564;210;27;15;"H";"L"
"Kattegat Swedish Coastal waters";"Biota";"CD";"HM";3.361181278;"ug/kg ww mussels";"+";"M";"H";"Full";"H";2406.8103734652;80;11;10;"L";"H"
"Kattegat Swedish Coastal waters";"Water";"CS-137";"Rad";1.23;"Bq/m3";"+";"M";"H";"Full";"H";2406.8103734652;80;2;9;"H";"M"
"Kattegat Swedish Coastal waters";"Biota";"CS-137";"Rad";0.26;"Bq/kg ww";"+";"M";"H";"Full";"H";2406.8103734652;80;2;8;"H";"M"
"Kattegat Swedish Coastal waters";"Biota";"CS-137";"Rad";0.13;"Bq/kg ww";"+";"M";"H";"Full";"H";2406.8103734652;80;10;10;"L";"H"
"Kattegat Swedish Coastal waters";"Biota";"HG";"HM";0.951244179;"ug/kg ww fish muscle";"+";"H";"H";"Full";"H";2406.8103734652;80;7;11;"M";"L"
"Kattegat Swedish Coastal waters";"Biota";"PB";"HM";0.877851601;"ug/kg ww fish liver - ug/kg dw mussels";"+";"M";"H";"Full";"H";2406.8103734652;80;6;5;"L";"H"
"Kattegat Swedish Coastal waters";"Biota";"TBTVDSI";"Org";4.1;"VDSI";"+";"H";"H";"Full";"H";2406.8103734652;80;6;1;"M";"L"
"Kattegat Swedish Coastal waters";"Biota";"TBTVDSI";"Org";4.9;"VDSI";"+";"H";"H";"Full";"H";2406.8103734652;80;5;4;"M";"H"
"Kattegat Swedish Coastal waters";"Biota";"TBTVDSI";"Org";2.7;"VDSI";"+";"H";"H";"Full";"H";2406.8103734652;80;0;9;"H";"L"
"Kattegat Swedish Coastal waters";"Biota";"TBTVDSI";"Org";6.8;"VDSI";"+";"H";"H";"Full";"H";2406.8103734652;80;8;1;"H";"H"
"Kiel Bay - open sea";"Sediment";"CD";"HM";0.342608717;"mg/kg sediment";"+";"H";"H";"Full";"H";2716.06181423;91;13;5;"M";"M"
"Kiel Bay - open sea";"Water";"CS-137";"Rad";1.49;"Bq/m3";"+";"M";"H";"Full";"H";2716.06181423;91;8;13;"M";"L"
"Kiel Bay - open sea";"Biota";"CS-137";"Rad";0.31;"Bq/kg ww";"+";"M";"H";"Full";"H";2716.06181423;91;11;10;"M";"M"
"Kiel Bay - open sea";"Biota";"CS-137";"Rad";0.29;"Bq/kg ww";"+";"M";"H";"Full";"H";2716.06181423;91;9;7;"H";"M"
"Kiel Bay - open sea";"Biota";"HG";"HM";3.902964321;"ug/kg ww fish muscle";"+";"H";"H";"Full";"H";2716.06181423;91;6;11;"L";"L"
"Kiel Bay - open sea";"Biota";"SCB6";"Org";9.516155573;"ug/kg ww fish muscle";"+";"L";"H";"Full";"H";2716.06181423;91;1;1;"H";"M"
"Kiel Bay - open sea";"Biota";"PB";"HM";5.151857744;"ug/kg ww fish liver - ug/kg dw mussels";"+";"M";"H";"Full";"H";2716.06181423;91;2;2;"L";"H"
"Kiel Bay - open sea";"Sediment";"PB";"HM";0.71910964;"mg/kg";"+";"M";"H";"Full";"H";2716.06181423;91;12;3;"M";"M"
"Kiel Bay - open sea";"Biota";"SBD6";"Org";867.2365042;"ug/kg ww fish muscle";"+";"H";"H";"Full";"H";2716.06181423;91;11;3;"L";"L"
"Kiel Bay - open sea";"Sediment";"ANT";"Org";1.37;"ug/kg ww sediment";"+";"H";"L";"initial";"M";2716.06181423;91;3;9;"M";"M"
